N,Min,Max,Random Number,Steps
50000,1,500000,16901,58
50000,1,500000,11950,50
50000,1,500000,12629,32
50000,1,500000,18349,123
50000,1,500000,296,24
50000,1,500000,6368,124
50000,1,500000,6191,168
50000,1,500000,19978,92
50000,1,500000,15251,84
50000,1,500000,1629,42
50000,1,500000,27069,152
50000,1,500000,15001,164
50000,1,500000,17534,79
50000,1,500000,10514,179
50000,1,500000,19840,92
50000,1,500000,7908,145
50000,1,500000,3871,113
50000,1,500000,28646,134
50000,1,500000,23833,100
50000,1,500000,15130,40
50000,1,500000,29625,165
50000,1,500000,18344,110
50000,1,500000,12650,81
50000,1,500000,26279,77
50000,1,500000,17877,48
50000,1,500000,26693,33
50000,1,500000,19192,74
50000,1,500000,26376,126
50000,1,500000,8143,158
50000,1,500000,575,43
50000,1,500000,22931,69
50000,1,500000,10462,130
50000,1,500000,1941,99
50000,1,500000,24666,38
50000,1,500000,10042,91
50000,1,500000,3905,100
50000,1,500000,20652,56
50000,1,500000,20889,61
50000,1,500000,10809,68
50000,1,500000,19798,97
50000,1,500000,24436,157
50000,1,500000,28520,51
50000,1,500000,660,113
50000,1,500000,32292,98
50000,1,500000,12716,81
50000,1,500000,5147,116
50000,1,500000,26280,33
50000,1,500000,28323,59
50000,1,500000,20536,149
50000,1,500000,5527,41
50000,1,500000,17168,27
50000,1,500000,19990,66
50000,1,500000,3618,56
50000,1,500000,6223,36
50000,1,500000,4550,20
50000,1,500000,14491,164
50000,1,500000,14560,45
50000,1,500000,3699,69
50000,1,500000,11402,29
50000,1,500000,20481,180
50000,1,500000,7637,39
50000,1,500000,14179,58
50000,1,500000,7816,101
50000,1,500000,22233,162
50000,1,500000,2330,120
50000,1,500000,13162,138
50000,1,500000,14645,133
50000,1,500000,464,22
50000,1,500000,8573,171
50000,1,500000,32681,129
50000,1,500000,28794,72
50000,1,500000,29500,46
50000,1,500000,17866,141
50000,1,500000,28241,152
50000,1,500000,16916,84
50000,1,500000,5364,72
50000,1,500000,20298,136
50000,1,500000,28438,196
50000,1,500000,11323,112
50000,1,500000,17509,79
50000,1,500000,23946,51
50000,1,500000,15328,58
50000,1,500000,30593,85
50000,1,500000,1250,26
50000,1,500000,3933,144
50000,1,500000,15811,190
50000,1,500000,22526,206
50000,1,500000,11324,37
50000,1,500000,19748,136
50000,1,500000,15921,146
50000,1,500000,10666,117
50000,1,500000,15763,146
50000,1,500000,2125,125
50000,1,500000,14446,71
50000,1,500000,19466,48
50000,1,500000,26219,170
50000,1,500000,5146,28
50000,1,500000,24389,38
50000,1,500000,24847,95
50000,1,500000,20994,149
50000,1,500000,31652,103
50000,1,500000,11002,42
50000,1,500000,29499,46
50000,1,500000,18146,66
50000,1,500000,31007,134
50000,1,500000,895,98
50000,1,500000,18181,141
50000,1,500000,17074,172
50000,1,500000,29279,152
50000,1,500000,23274,51
50000,1,500000,23423,82
50000,1,500000,2129,125
50000,1,500000,7835,57
50000,1,500000,19495,123
50000,1,500000,24118,188
50000,1,500000,21542,149
50000,1,500000,14706,164
50000,1,500000,4586,108
50000,1,500000,5721,80
50000,1,500000,10929,161
50000,1,500000,26411,77
50000,1,500000,27112,38
50000,1,500000,2846,66
50000,1,500000,30054,90
50000,1,500000,11841,187
50000,1,500000,14407,71
50000,1,500000,26978,77
50000,1,500000,25020,113
50000,1,500000,10783,148
50000,1,500000,32595,98
50000,1,500000,27792,108
50000,1,500000,13953,133
50000,1,500000,23336,38
50000,1,500000,32626,116
50000,1,500000,20163,87
50000,1,500000,4976,90
50000,1,500000,14330,102
50000,1,500000,4954,134
50000,1,500000,1071,168
50000,1,500000,20229,74
50000,1,500000,25588,77
50000,1,500000,7297,163
50000,1,500000,17853,48
50000,1,500000,26256,77
50000,1,500000,12022,42
50000,1,500000,5077,41
50000,1,500000,12021,143
50000,1,500000,13449,226
50000,1,500000,16999,84
50000,1,500000,4782,121
50000,1,500000,29473,121
50000,1,500000,24867,113
50000,1,500000,8061,96
50000,1,500000,26625,214
50000,1,500000,28079,82
50000,1,500000,16675,159
50000,1,500000,21176,56
50000,1,500000,3542,56
50000,1,500000,4568,33
50000,1,500000,5875,54
50000,1,500000,176,18
50000,1,500000,4860,165
50000,1,500000,32127,235
50000,1,500000,27122,90
50000,1,500000,12305,156
50000,1,500000,19707,198
50000,1,500000,13148,76
50000,1,500000,26639,170
50000,1,500000,29924,165
50000,1,500000,26186,139
50000,1,500000,16473,115
50000,1,500000,1430,26
50000,1,500000,24848,126
50000,1,500000,7362,132
50000,1,500000,20540,149
50000,1,500000,20297,136
50000,1,500000,24096,25
50000,1,500000,17491,53
50000,1,500000,30087,90
50000,1,500000,8883,184
50000,1,500000,21574,69
50000,1,500000,25078,139
50000,1,500000,10396,148
50000,1,500000,16569,66
50000,1,500000,17056,35
50000,1,500000,29410,134
50000,1,500000,16933,203
50000,1,500000,28274,108
50000,1,500000,11451,130
50000,1,500000,13315,169
50000,1,500000,29875,72
50000,1,500000,6201,36
50000,1,500000,342,125
50000,1,500000,32168,72
50000,1,500000,2469,133
50000,1,500000,11008,37
50000,1,500000,24168,69
50000,1,500000,1916,55
50000,1,500000,25932,170
50000,1,500000,6119,62
50000,1,500000,22116,43
50000,1,500000,10423,135
50000,1,500000,5709,28
50000,1,500000,13837,107
50000,1,500000,6843,137
