N,Min,Max,Random Number,Steps
10000,1,50000,13329,182
10000,1,50000,30637,178
10000,1,50000,8931,47
10000,1,50000,20373,35
10000,1,50000,19762,167
10000,1,50000,23855,126
10000,1,50000,5869,142
10000,1,50000,24577,95
10000,1,50000,18317,110
10000,1,50000,6020,41
10000,1,50000,26365,245
10000,1,50000,229,34
10000,1,50000,1764,29
10000,1,50000,29622,165
10000,1,50000,771,33
10000,1,50000,7488,26
10000,1,50000,22987,30
10000,1,50000,5976,49
10000,1,50000,1620,29
10000,1,50000,32484,41
10000,1,50000,20316,180
10000,1,50000,20333,87
10000,1,50000,23293,144
10000,1,50000,13434,89
10000,1,50000,5421,116
10000,1,50000,18053,185
10000,1,50000,10070,135
10000,1,50000,6342,80
10000,1,50000,29055,72
10000,1,50000,26153,157
10000,1,50000,14810,133
10000,1,50000,24364,38
10000,1,50000,11704,143
10000,1,50000,26489,126
10000,1,50000,26421,139
10000,1,50000,18803,61
10000,1,50000,1300,26
10000,1,50000,22292,38
10000,1,50000,3743,69
10000,1,50000,27338,59
10000,1,50000,27543,59
10000,1,50000,4152,64
10000,1,50000,14441,45
10000,1,50000,7176,70
10000,1,50000,16710,128
10000,1,50000,29483,134
10000,1,50000,725,20
10000,1,50000,1336,70
10000,1,50000,17814,97
10000,1,50000,23257,51
10000,1,50000,20779,87
10000,1,50000,24661,38
10000,1,50000,24357,64
10000,1,50000,5566,116
10000,1,50000,28937,165
10000,1,50000,22866,131
10000,1,50000,2984,22
10000,1,50000,26118,170
10000,1,50000,10747,99
10000,1,50000,12125,143
10000,1,50000,3108,35
10000,1,50000,19699,74
10000,1,50000,27467,152
10000,1,50000,31589,41
10000,1,50000,8546,65
10000,1,50000,9600,21
10000,1,50000,3099,136
10000,1,50000,16346,159
10000,1,50000,27805,113
10000,1,50000,21060,43
10000,1,50000,20912,180
10000,1,50000,9652,73
10000,1,50000,18557,92
10000,1,50000,664,113
10000,1,50000,12305,156
10000,1,50000,2742,115
10000,1,50000,11849,99
10000,1,50000,21244,100
10000,1,50000,30929,209
10000,1,50000,17652,48
10000,1,50000,31576,191
10000,1,50000,19639,74
10000,1,50000,27689,77
10000,1,50000,16275,159
10000,1,50000,10952,42
10000,1,50000,2238,89
10000,1,50000,24650,157
10000,1,50000,21712,56
10000,1,50000,22387,69
10000,1,50000,31191,222
10000,1,50000,29424,165
10000,1,50000,2371,151
10000,1,50000,6687,49
10000,1,50000,8702,78
10000,1,50000,31035,147
10000,1,50000,3173,79
10000,1,50000,6133,49
10000,1,50000,14088,107
10000,1,50000,8635,171
10000,1,50000,8785,140
10000,1,50000,21813,69
10000,1,50000,31366,54
10000,1,50000,31945,191
10000,1,50000,23239,175
10000,1,50000,8231,52
10000,1,50000,18668,35
10000,1,50000,24350,157
10000,1,50000,14710,102
10000,1,50000,10325,104
10000,1,50000,9203,60
10000,1,50000,21150,79
10000,1,50000,13179,125
10000,1,50000,5623,59
10000,1,50000,15419,146
10000,1,50000,2421,19
10000,1,50000,9765,73
10000,1,50000,13743,213
10000,1,50000,15925,27
10000,1,50000,1893,37
10000,1,50000,11003,73
10000,1,50000,3190,74
10000,1,50000,26176,46
10000,1,50000,30046,64
10000,1,50000,27904,121
10000,1,50000,26582,77
10000,1,50000,8210,158
